first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_class
Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,False,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.72,65,60.0
Morly,Genery,Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,False,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.72,52,50.0
Ardelis,Forrester,Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,False,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.72,48,50.0
Lucine,Stutt,Female,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,False,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.7,44,40.0
Melinda,Hadlee,Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,False,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.7,57,60.0
Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,False,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.67,71,70.0
Rutledge,Hallt,Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,False,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.67,46,50.0
Nancie,Vian,Female,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,False,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.66,50,50.0
Duff,Karlowicz,Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,False,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.66,50,50.0
Barthel,Docket,Male,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,False,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.64,37,40.0
Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,False,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.64,28,30.0
Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,False,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.62,23,20.0
Olag,,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,False,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.61,32,30.0
Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,False,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59,46,50.0
Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,False,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59,58,60.0
Dukie,Swire,Male,88,1954-03-31,Associate Professor,Manufacturing,Affluent Customer,False,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.56,68,70.0
Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,False,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.55,29,30.0
Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,False,No,14,61 4th Street,3040,VIC,Australia,10,17,1.55,46,50.0
Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,False,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53,84,80.0
Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,False,No,12,193 North Point,2190,NSW,Australia,10,19,1.53,68,70.0
Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,False,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.52,54,50.0
Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,False,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.52,29,30.0
Otis,Ottey,Male,26,1998-02-05,Quality Engineer,Financial Services,Mass Customer,False,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,25,20.0
Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,Financial Services,Affluent Customer,False,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,45,40.0
